City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
225,port elizabeth,ZA,2022-05-01 19:58:10,-33.918,25.5701,61.09,89,0,9.22,clear sky
226,chagda,ZA,2022-05-01 19:58:10,-33.918,25.5701,61.09,89,0,9.22,clear sky
227,konstantinovskiy,RU,2022-05-01 19:58:10,57.8301,39.5899,38.91,73,90,3.96,overcast clouds
228,kodiak,US,2022-05-01 19:58:11,57.79,-152.4072,42.31,81,100,18.41,light rain
229,requena,ES,2022-05-01 19:58:11,39.4883,-1.1004,60.87,75,66,2.64,broken clouds
230,weligama,LK,2022-05-01 19:58:12,5.9667,80.4167,79.05,89,91,11.12,overcast clouds
231,arvika,SE,2022-05-01 19:55:53,59.6553,12.5852,45.21,48,93,4.76,overcast clouds
232,deputatskiy,RU,2022-05-01 19:49:26,69.3,139.9,22.08,83,100,4.85,overcast clouds
233,tiksi,RU,2022-05-01 19:58:12,71.6872,128.8694,16.92,89,98,13.56,overcast clouds
234,shobara,JP,2022-05-01 19:58:13,34.85,133.0167,40.51,69,20,0.31,few clouds
235,sambava,MG,2022-05-01 19:58:13,-14.2667,50.1667,77.5,85,51,7.34,broken clouds
236,coquimbo,CL,2022-05-01 19:58:13,-29.9533,-71.3436,62.33,72,0,8.05,clear sky
237,stornoway,GB,2022-05-01 19:58:14,58.2093,-6.3865,49.96,78,100,6.91,overcast clouds
238,tarudant,GB,2022-05-01 19:58:14,58.2093,-6.3865,49.96,78,100,6.91,overcast clouds
239,upernavik,GL,2022-05-01 19:58:14,72.7868,-56.1549,11.55,79,98,3.87,overcast clouds
240,norman wells,CA,2022-05-01 19:58:15,65.282,-126.8329,48.24,46,75,18.41,broken clouds
241,chuy,UY,2022-05-01 19:58:15,-33.6971,-53.4616,61.77,58,0,10.22,clear sky
242,ceres,US,2022-05-01 19:58:16,37.5949,-120.9577,75.52,27,1,15.73,clear sky
243,boljoon,PH,2022-05-01 19:58:16,9.6281,123.4785,80.58,84,100,9.64,overcast clouds
244,oranjemund,NA,2022-05-01 19:58:17,-28.55,16.4333,62.38,47,0,4.72,clear sky
245,shingu,JP,2022-05-01 19:58:17,33.7333,135.9833,48.04,69,100,6.98,overcast clouds
246,samalaeulu,JP,2022-05-01 19:58:17,33.7333,135.9833,48.04,69,100,6.98,overcast clouds
247,hambantota,LK,2022-05-01 19:58:19,6.1241,81.1185,81.1,82,100,16.31,overcast clouds
248,cabedelo,BR,2022-05-01 19:48:58,-6.9811,-34.8339,84.87,81,23,11.48,few clouds
249,pemberton,CA,2022-05-01 19:58:20,50.3164,-122.8027,56.89,92,100,3.27,overcast clouds
250,port-gentil,GA,2022-05-01 19:58:20,-0.7193,8.7815,82.36,83,75,6.91,broken clouds
251,ryazanovskiy,RU,2022-05-01 19:58:21,55.55,39.4333,38.66,83,90,5.06,overcast clouds
252,half moon bay,US,2022-05-01 19:58:22,37.4636,-122.4286,75.54,53,0,6.91,clear sky
253,dauphin,CA,2022-05-01 19:58:22,51.1494,-100.0502,39.34,87,100,13.8,overcast clouds
254,nueva guinea,NI,2022-05-01 19:58:23,11.6876,-84.4562,90.72,48,94,10.92,overcast clouds
255,aginskoye,RU,2022-05-01 19:58:23,51.1,114.53,48.47,63,100,5.32,overcast clouds
256,saldanha,ZA,2022-05-01 19:58:24,-33.0117,17.9442,57.25,81,0,10.89,clear sky
257,tsaratanana,MG,2022-05-01 19:58:25,-16.7833,47.65,78.15,70,74,1.68,broken clouds
258,kingsport,US,2022-05-01 19:58:25,36.5484,-82.5618,75.54,70,100,5.99,overcast clouds
259,nizhniy kuranakh,RU,2022-05-01 19:58:26,58.8353,125.4869,35.65,93,100,9.26,light rain
260,narok,KE,2022-05-01 19:58:26,-1.0783,35.8601,57.6,92,99,5.46,overcast clouds
261,theologos,KE,2022-05-01 19:58:26,-1.0783,35.8601,57.6,92,99,5.46,overcast clouds
262,warqla,KE,2022-05-01 19:58:26,-1.0783,35.8601,57.6,92,99,5.46,overcast clouds
263,mbuji-mayi,CD,2022-05-01 19:58:27,-6.15,23.6,68.7,96,97,3.18,overcast clouds
264,murgab,TM,2022-05-01 19:58:28,37.4966,61.9714,71.47,53,100,13.8,overcast clouds
